"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"0,28661894,0-10 cm,28661894,1,177.4,343,177.4,1,Cropland,0.195667544,14946.8913,60.15990067,1.558220029,38.68398208,-6.765229741,0.463252991,48.57860184,16.49340057,46.33333333,44.91666667,47.58333333,44.5,10.25,11.39999962,11.44999981,10.39999962"
"1,29361938,0-10 cm,29361938,1.9,84.6,605,84.6,1.9,Shrubland,0.243571268,14858.47826,49.07320023,-3.052050114,39.20837036,-6.073698898,4.934720039,52.75989914,15.22239971,50.08333333,48.83333333,52.08333333,48.83333333,8.800000191,9.949999809,10,9"
"2,29761754,0-10 cm,29761754,1.4,452.3,186,452.3,1.4,Grassland,0.196001239,14976.32609,63.98820114,0.162255004,37.65292859,-5.239352241,0.363407999,47.95410156,17.71269989,43.16666667,41.08333333,44.75,40.5,11.39999962,12.5,12.60000038,11.5"
"3,29582082,0-20 cm,29582082,3.4,345.8,1141,345.8,3.4,Cropland,0.285321809,14533.35897,72.6536026,-2.297669888,40.52129288,-6.144885179,3.328229904,94.53970337,10.46609974,91.33333333,90.83333333,94.66666667,89.91666667,5.5,6.550000191,6.650000095,5.599999905"
"4,29662086,0-20 cm,29662086,2.7,33.2,1111,33.2,2.7,Shrubland,0.208077597,14637.90698,72.6536026,1.015740037,40.57186521,-6.061535348,4.453750134,87.21219635,10.82989979,84.25,83.5,87.5,82.83333333,5.599999905,6.650000095,6.75,5.75"
"5,29882084,0-20 cm,29882084,4.4,318.2,969,318.2,4.4,Grassland,0.295464462,14780.64286,54.42819977,-1.436570048,40.59585554,-5.802445943,1.623280048,61.04719925,11.90789986,58.83333333,58.25,60.91666667,57.75,5.949999809,7.050000191,7.150000095,6.099999905"
"6,29882098,0-20 cm,29882098,1.7,147,1096,147,1.7,Woodland,0.244093805,14631.18182,54.52909851,-3.4296,40.71940442,-5.833951052,4.290770054,66.73040009,11.43420029,64.33333333,63.66666667,66.66666667,63.08333333,5.5,6.599999905,6.650000095,5.699999809"
"7,30022086,0-20 cm,30022086,2.3,105,949,105,2.3,Grassland,0.25909809,14773.22727,55.57180023,-2.46739006,40.63966513,-5.644766982,1.747059941,50.87009811,12.02420044,49,48.41666667,50.66666667,48,5.800000191,6.900000095,6.949999809,5.949999809"
"8,30062066,0-20 cm,30062066,2.7,112.3,1091,112.3,2.7,Grassland,0.168262344,14729.33333,53.29520035,-1.630130053,40.47043446,-5.554207704,7.234680176,54.18349838,11.49580002,52.08333333,51.5,53.91666667,51,5.349999905,6.400000095,6.449999809,5.449999809"
"9,30062074,0-20 cm,30062074,1.3,60.3,1128,60.3,1.3,Cropland,0.22525017,14719.09524,58.85200119,-2.796260118,40.54110427,-5.571848527,3.207509995,51.42419815,11.77509975,49.5,49,51.25,48.58333333,5.5,6.599999905,6.699999809,5.699999809"
"10,30122060,0-20 cm,30122060,1.2,102.2,1098,102.2,1.2,Grassland,0.229839611,14718.16667,56.10300064,-1.709849954,40.42847514,-5.471698136,1.489770055,50.5143013,11.57199955,48.66666667,47.83333333,50.25,47.41666667,5.300000191,6.400000095,6.5,5.5"
"11,30142056,0-20 cm,30142056,0.9,84.9,1114,84.9,0.9,Grassland,0.227625335,14709.44186,54.95190048,-0.386018008,40.39679549,-5.43985703,3.477910042,53.54940033,10.90979958,51.5,50.66666667,53.16666667,50.25,4.900000095,5.949999809,6,5"
"12,30162054,0-20 cm,30162054,4.6,137.9,1269,137.9,4.6,Grassland,0.237469735,14568.82927,54.95190048,-3.32427001,40.38278194,-5.412402567,12.30529976,62.11750031,9.75786972,60,58.83333333,61.83333333,58.33333333,3.900000095,5,5.050000191,4.099999905"
"13,30162072,0-20 cm,30162072,1.8,97.1,1159,97.1,1.8,Grassland,0.239827068,14697.95455,61.7765007,-2.726409912,40.54186268,-5.451715777,2.699569941,53.42300034,10.86190033,51.41666667,50.75,53.25,50.5,4.800000191,5.849999905,5.949999809,4.949999809"
"14,30242074,0-20 cm,30242074,1.3,109.9,1220,109.9,1.3,Woodland,0.218581809,14693.72727,61.7765007,-1.440410018,40.57418218,-5.363460085,1.909369946,52.30550003,10.67870045,50.41666667,49.58333333,52,49.41666667,4.599999905,5.699999809,5.800000191,4.800000191"
"15,30282048,0-20 cm,30282048,2.9,433.3,1336,433.3,2.9,Woodland,0.246205467,14604.80952,58.49750137,5.764150143,40.35158937,-5.26085651,4.258190155,64.50370026,9.248379707,62.16666667,61.08333333,64.33333333,60.75,3.450000048,4.550000191,4.650000095,3.599999905"
"16,30302082,0-20 cm,30302082,0.9,113.5,1138,113.5,0.9,Woodland,0.221629364,14721.56818,61.28250122,-2.067019939,40.65582735,-5.311357413,4.190100193,45.7969017,11.09809971,44.16666667,43.33333333,45.5,43.25,4.800000191,5.900000095,6,5"
"17,30422084,0-20 cm,30422084,2,171.8,1106,171.8,2,Grassland,0.226185788,14790.13636,62.83980179,-2.755650043,40.69525014,-5.176459873,1.665889978,41.20959854,11.29129982,39.75,38.83333333,41.08333333,38.66666667,5,6.050000191,6.150000095,5.150000095"
"18,30522076,0-20 cm,30522076,3.6,158.6,1397,158.6,3.6,Shrubland,0.190540385,14672.69048,70.76129913,-1.104230046,40.6424551,-5.043203029,4.280069828,51.20410156,9.851160049,49.5,48.5,51,48.25,3.849999905,4.949999809,5,4"
"19,30582064,0-20 cm,30582064,2.3,246,1278,246,2.3,Shrubland,0.193396603,14696,46.64659882,-3.376830101,40.54696981,-4.94807274,2.393419981,39.957901,10.77299976,38.5,37.75,39.58333333,37.41666667,4.5,5.599999905,5.699999809,4.699999809"
"20,30602044,0-20 cm,30602044,1.6,98.8,1248,98.8,1.6,Shrubland,0.229292374,14625.66667,50.22689819,-2.660039902,40.37347829,-4.882703063,2.216909885,47.97029877,10.0333004,46.16666667,45.25,47.66666667,44.75,4.099999905,5.199999809,5.25,4.25"
"21,30622042,0-20 cm,30622042,5.5,321.4,1390,321.4,5.5,Woodland,0.223209196,14556.70455,50.22689819,-0.923178971,40.35930264,-4.855391556,7.787960052,57.06689835,9.356169701,55,53.83333333,56.75,53.41666667,3.5,4.599999905,4.699999809,3.700000048"
"22,30622070,0-20 cm,30622070,0.9,99.8,1217,99.8,0.9,Grassland,0.19943704,14708.09091,50.91469955,-1.747099996,40.6071682,-4.914424643,6.617630005,40.64599991,10.6388998,39.25,38.41666667,40.33333333,38.08333333,4.5,5.550000191,5.599999905,4.599999905"
"23,30642062,0-20 cm,30642062,1.7,324.8,1258,324.8,1.7,Grassland,0.21003353,14700.82222,56.1242981,-2.546159983,40.53989958,-4.874320258,3.806119919,53.30970001,9.437350273,51.5,50.33333333,53.08333333,49.91666667,3.5,4.599999905,4.699999809,3.700000048"
"24,30662054,0-20 cm,30662054,2.6,88.8,1312,88.8,2.6,Woodland,0.220453406,14643.60465,62.49530029,-2.286689997,40.47260657,-4.834314461,4.526860237,66.56690216,8.81427002,64.16666667,62.75,66.16666667,62.33333333,3.200000048,4.300000191,4.349999905,3.349999905"
"25,30682044,0-20 cm,30682044,1.4,93.4,975,93.4,1.4,Shrubland,0.210074428,14704,50.22689819,-2.926359892,40.38757776,-4.790226257,3.864520073,31.70949936,12.32409954,30.5,30,31.5,29.66666667,6,7.050000191,7.150000095,6.150000095"
"26,30682052,0-20 cm,30682052,2.2,82,1173,82,2.2,Grassland,0.235634149,14736.64286,62.49530029,-0.469197989,40.45841997,-4.806967944,2.688570023,61.59289932,9.213190079,59.33333333,58.33333333,61.25,57.83333333,3.5,4.650000095,4.699999809,3.700000048"
"27,30221962,0-20 cm,30221962,1.1,68.3,806,68.3,1.1,Shrubland,0.215489519,14746.71739,43.95000076,-3.23548007,39.57969912,-5.147154296,2.72777009,47.58499908,13.28709984,44.75,43.66666667,46.5,43.33333333,7,8.100000381,8.149999619,7.099999905"
"28,30241966,0-20 cm,30241966,1.7,74.2,660,74.2,1.7,Grassland,0.240513007,14914,43.95000076,3.295269966,39.61871085,-5.132691842,0.502563,41.37900162,14.37819958,38.91666667,38,40.33333333,37.83333333,7.900000095,9,9.100000381,8.050000191"
"29,30261962,0-20 cm,30261962,1.2,187.2,686,187.2,1.2,Grassland,0.195991201,14918.26087,43.95000076,-1.41218996,39.58687084,-5.101494358,0.614832997,39.79499817,14.58230019,37.5,36.5,38.91666667,36.25,8.050000191,9.149999619,9.25,8.199999809"
"30,30361876,0-20 cm,30361876,1,69.5,607,69.5,1,Woodland,0.206429479,14853.95455,53.09609985,0.177573994,38.84220507,-4.811938213,1.656960011,44.41590118,15.12010002,40.66666667,39.41666667,42.5,39.08333333,8.399999619,9.550000191,9.649999619,8.550000191"
